Review Name,Review Text
Matt Booth,A busy hustling restaurant with great ambience and atmosphere. Food was reasonably priced and tasty.
Bilal Sarmini,Great food with affordable prices and very comforting atmosphere
Crazy Food,"This is such a cute and cozy restaurant. The books are nice , the food is delicious and freshly made , the hygiene is always up to standards and the service is prompt and punctual too."
Carine Hamdan,"Everything about this place is perfect
highly recommended"
S Barakat,Lovely bohemian cafe restaurant nestled behind a square in the heart of hamra..good food..good prices..great music
Jonathan Simpson,Great food. Good service and value. Highly recommend it. One of our faves in Beirut.
Ali Jouzou,Excellent middle eastern and Lebanese cuisine. Very Cozy ambiance
carole atieh,The food is good but tonight the service wasn’t good they were late even the place wasn’t fully booked but anw the waiter made it up with his smile and hospitality
Helen Wilson,"Really nice place, with a great vibe. Loads of books and comfy seats. We went on a Friday night and it was very busy but managed to get a seat without too much waiting. Menu was extensive and the food we had delicious."
Wish & Have,A very clean place with an exeptional taste and great staff a place that needs to be visited
Bachar Senno,"Great food, prices, and service."
Michella Abi Zeid Daou,"Delicious food, great ambiance but slow and incomplete service, friendly staff."
Nahla Kanaan,"In the middle of the famous Hamra street in Beirut, an indoor and outdoor cozy restaurant, visited mainly by young generation.  Sometimes it is a meeting place for intellectuals and  held cultural seminars from time to time.  It's a Lebanese restaurant with combination of other Middle Eastern and Arab Gulf cuisines.  So delicious and Great food with reasonable prices.  it's highly recommeded."
Wadad Lahad,"Always busy, young people are everywhere.
the place is casual and simple.
Food is good and prices are really affordable to everybody.
You can try a traditional menu having no special courses or items."
Bader Helal,"What really shines about this place is the atmosphere and the crowd it attracts. Nice atmosphere and good taste of music.

Good place to sit down for some work, coffee, snacks.

However, their Lebanese cousine is amazing and delicious. Their main dishes are of good quality and quantity.

The only thing though is that it gets really smoky on a crowded night."
Rohit Pinto do Rosario,Hidden gem with great good and Lebanese wine.
sarah dergham,Super delicious food! Good prices.
Renzo Bozzi,"Cozy place and nice lebanese food, fair prices"
Don Vito,Friendly waiter. Nicely located in a quiet lively street in Hamra. Had a nice cold beer. And the music was cool.
remy jouaide,"Very nice place, wonderful terrasse and ambiance. The food is really good ! A must to try !"
Hadi Abdul Khalek,Had to repeatedly call for the waiter�s attention. The place lacks efficient staff.
Walid El-kabbani,"A good destination for gathering with friends,  affordable prices and delicious food"
Filip Šoštarić,"Excellent place. Great vibe, mix of locals of all age and tourists.. Service efficient and fast, they were able to reccomend the food.
As for food I can just say THE BEST for it since portions are fair to big, delicious and fresh and really yummy. Will come back soon for sure."
h saab,Great selection of yummy Lebanese and middle Eastern dishes great vibrant atmosphere and good service
Muhammed Ali (Ali Karayath),Good choice for juices
Raghd Hamzeh,Servers mixed up our order but were reluctant to rectify their mistake.
hiba tabbara,Did not like at all the couches are not comfortable for siting and smoking everywhere
safia Lt,Great place to try Lebanese food. Great crowd and great atmosphere as well.
Sam Reda,Warm casual setting. I recommend spicy potato dish. can smoke.
Joey AL-Hachach,A cozy place in hamra the staff is very friendly. The food is great tasty with great portions. As for the prices they are very affordable.
Hala K,The restaurant's decor felt outdated and didn't add to the dining experience.
Gael N,Food is so good and the place so chill. On one of the most animated neighbourhood of Beirut
Fouad Zreik,Waiters forgot part of our order and weren't apologetic. The restaurant felt chaotic and unmanaged.
Deepak Cherukumilli,"Ordered a traditional Lebanese dish, but it was Americanized and lost its authenticity."
rooney nofal,Nice restaurant where food is delicious and seating is comfortable
Marwa Idriss,Cozy place and authentic lebanese food! Lovely place
Julia LXD,"Great food, nice service and very good prices. Quantity is very generous and staff friendly. Highly recommended. Sometimes it's full at lunch or dinner time."
Hadi Bizri,"Well priced food and the taste is good too, the waiter had an annoying attitude."
Zaher Itani,"It is a good place to hang out with friends or family, food is good."
Discovery Beyond Borders,"The food is excellentttt! We ordered few plates from the Lebanese traditional Mezze, and the atmosphere is cool with lots of foreigners."
Riccardo,"It is centrally located in Hamra, but a bit hidden. What I liked the most is that there is outdoor seating, which creates a quite corner in this bustling neughborhood. In addition, the service was friendly. The menu is extensive with a wide choiche of Lebanese and American food. Great atmosphere inside with a bookshelf and music. The prices are reasonable. I highly recommend this place."
Najat Hawa,"Friendly stuff,nice atmosphere,good food"
Engr Husam Husam Idreis,"Frankly speaking one of the best restaurants in Lebanon Place was so delicious and yummy service was phenomenal the staff was so kind clean and friendly I would recommend it to all visitors for the best breakfast Zatar,egg,halom cheese chicken and  salad"
Aya Refaat,"Highly recommended.

It's a very nice and cozy Lebanese restaurant.

Food quality and quantity is really good. Prices are so fair. If you know Mezyan, they are both almost the same idea but with a little bit different menus.

I prefer Mezyan's terrace, but if it is crowded I directly head to Place. The atmosphere of the place is really quiet and relaxing (not as crowded as Mezyan), people there are so friendly, they have tawla so you can play with your friends (no tawla at Mezyan).

It's my second favorite place in Hamra after Mezyan."
Angie Wheeler,Delish food and such friendly staff!!!
Brandy91,A few vegetarian options. Service isn't fantastic
sophia wakim,"Nice place in hamra, usually crowded, great food, nice music."
Bakr B,Good Lebanese food at good price
Ahmad Abou Melhem,"A bit overrated. No argile served, even outside. Bit overpriced. Food is good though."
Maryam Hafeez,One of my Hamra favorites ....Really good service and food. It is always crowded and have large groups. Delivery service is also quite fast and efficient
Mohamad Sabra,"Good selection of authentic Lebanese food, with a cool atmosphere and shisha free space, the food quality is superb and the staff is very friendly, make sure to check the available books selection and the daily dish menu !"
Hani Asfour,"Great hidden spot in Beirut, great food, alternative scene, good vibes. Here are the buts: service is slow, you have to flag down the team, who are energetic but almost always distracted, and oh, the smoking inside the tent, what's with that? Open a vent in the tent, puh-lease, so we don't get drowned in second hand smoke. A common inanity in Beirut. Also, please stop using citric acid (E33) instead of fresh lemon, and make sure all ingredients are natural, and let us know when you'll wise up to that. Another inanity in Beirut, the land of citrus."
Abraam Magued,"Top restaurant. Have been in beirut for 6 days, got our dinner there half of our stay. Very tasty food, relatively moderate prices, cheerful stuff, cozy place. You must try all of their mezza menu. Only take off, they should add more variety in main dishes in their menu."
Ramona Rouhana,"I love everything about this placs. Very authentic. Food is good, prices are so affordable. U can choose among too many dishes, between the small or the big portion. Staff are very friendly and helpful. This place is always crowdy and almost always full house."
Mohamad Yaghi,The service is extremely slow. The food is below average. The music shifts between genre randomly which is too bad given that it's a place with a theme and it is very loud which defeats the purpose of being in a social environnent. The staff is not very friendly and not here to help. The chairs are uncomfortable.
Fatina Madkhane,Very delicious food and friendly waiters
Rudy Fares,"Great resto in the heart of Hamra's main street.
Good food, prices are fair... Waiters were a bit moody though"
Rawan Hasan,Good food ..good service
Muhannad Jabi,Great place great food excellent service very reasonable prices
Hussam Hammo,"There was nothing special about our experience. We were a group of 4. We ordered the cold and warm Mezzas but nothing was outstanding. If the place doesn’t really revise its menu, and its chef, I am afraid it wont be able to compete."
Nicolas C,"Very nice restaurant in Hamra, the food and service were really good and the price is affordable."
Ahmad Sleiman,Good food and very generous
Çiğdem Altunok,A special place in the heart of Hamra. You can either enjoy your late lunch or have your dinner with drink. You can also check upcoming events in the city at the wall of Place.
Ziad Tabbara,"Breaking the routine of constantly visiting the same restaurants! Good food, average service, and priced well.
The environment is the drawback that makes me not visit more frequently"
Penny,Great service and amazing food ! Such a nice place
Sam Darbouli,"Mint tea was too sweet, and the wait for it was too long considering the restaurant's reputation."
Alessandro Sabbi,"Excellent lebanese food, friendly staff and nice location. A must see"
Krzysztof Lewicki,"Very Good kitchen and nice place with atmosphere, very nice staff"
Nagham .I.S,"Great place you feel like you are in home , so comfortable place , the food are so delicious"
Tom Miller,"The atmosphere was too chaotic, with staff running around and not paying attention to customers. My moussaka was lukewarm and uninspiring."
Ali Sbeiti,Really tasty Lebanese food! And beautiful atmosphere
Bilal N,"Lebanese food, with daily dish. Fattoush hommos and batata harra are my favorites"
Joan Farjo,"My favourite restaurant in Hamra! Good food, good vibes!"
Maya,"Great place! A gem find within the Hamra area. The place is on the northwest corner of Hamra square (if Starbucks is on your left, this resto is on the inside left corner). Try hummus meat, it was out of this world !"
John Michael Schert,The Lebanese say this is the best Lebanese food in Beirut. Couldn’t agree more. Do yourself a favor and get the kibbeh with tomato.
Michel Tawil,Wonderful atmosphere with the whole old lebanon theme going on! GREAT FOOD
Limitless 87,"One of the best and unique restaurants in Lebanon, i like it so much."
Elsa Abou Jaoude,"excellent food, great atmosphere, no reservation needed for a table of less than 10 people"
Luciana Tudorache,Intenteresting ambiance with the garden and the books. Good food. Good wine.
ziad hariri,Excellent and always impressive with food quality!
James G,Nice potatoes and chicken. Little bit expensive to be Lebanon. Good service and Internet conexión.
Nour Siblini,Very tasty and a chill place to eat during breaks.
Nour Abilmona,"Hostess was impolite, and the seating arrangement was cramped and uncomfortable."
Emile Atallah,One of the best clean good service
Jana Abou harfouche,"My go too restaurant in Lebanon. It’s been like 7 years that I know this restaurant and I can assure you that it’s the best restaurant in Beirut. Everything is perfect from the tabbouleh and fattouch to the mezza. My favorite mezza are batata harra, hommos and kebbé. Last but not least, the chawarma djej is so yummy and the msakhan is so good. If you want good lebanese food go to Place 🤍"
Caroline Alam,The food is heavenly.the best tasting lebanese restaurant with affordable prices.everything is great
Charbel Aad,"I am very disappointed.
I have been a loyal costumer for quite a few years, not only eating most meals there but Introducing it to most of my friends and visitors.
The restaurant has always been very busy, however, lately, the staff manners in welcoming and communicatng with costumers have been nothing but what can be described as rude and careless. No compassion for costumers, no warm greetings and no sign of hospitality, at least not good hospitality.
It's a shame to see one of your favorite spots fall into the trap of arrogance and nonchalantly. A policy that only shows bad attitude and the lack of the community spirit that made the place what it is."
Wassim Ayass,"Good restaurant and bar, the service is a bit slow and should be better. The food menu is good."
Jacques Akiki,"A special place in the heart of hamra.
The outside vibes are very fresh.
Food is very good and service is fast with very affordable prices.
The tomato kebbeh is a must try !"
Rayan Zbib,Had a great time. Food was delicious and the decoration is spot on. A bit on the small side on space. Overall great experience. Definitely recommended
Sasa Meleg,"Small portion, bad taste, bad service... just like that"
Hanine Abdel Rahman,"Finally tried the famous Place for light dinner with friend. Service is good and food is tasty. We had their fatoush, zaatar wrap, humus and chamomile.a must try and they organize events too"
Imad Ashkar,Very good taste...and amazing atmosphere i'm in love with this place
Elie Rahbany,The mezze platter was disappointing with very small portions. Not worth the price.
Ramzi Madi,Service was impersonal and cold. The waiters seemed uninterested in providing a good dining experience.
Cornel Pruesse,"Food excellent.. BUT u need time to Find a place, nice staff"
Giovanni Nehme,A cosy place to visit in the heart of Hamra where you will enjoy the best Lebanese  platters
Hayan Abo Samra,I liked the atmosphere and the  home-cooked food. It was busy and vibrant. We enjoyed our meal in this lovely restaurant. Definitely I will visit it again in my next vacation.
Levantine,"It's rarely, but sometimes I curse while tasting something f...ing delicious. Lemon chicken Tajine, 25.march 2018. Waiters are fast, and serving like they should. Clean nice place. Lots of tourists, but really good and value for money."
Eva Serhan,The portion sizes were surprisingly small given the high prices. Left the restaurant still hungry.
Courine ER,Love their food its amazing and love the crowd
ahmet ouis,"Normal tastes, and service just normal without hospitality,"
Tribe Photo Travels,The hummus was too thick and lacked the creamy texture typical of Lebanese cuisine.
Talal Rizeq,"Place is nice and clean, service very slow, food is medium"
Christine Akkari,"They literally NEVER DISAPPOINT ME.
it's been 6 years and whenever I come to Beirut I enjoy spending time and food.
And it's always perfect, they keep their traditional concept and the high quality of food."
Alice Massabki,"Good food, casual and affordable"
Nadine A,"The food is always great, the portions are fulfilling and the prices are affordable.The outdoors venue is nice and the music is good."
Anna XYZ,"Servers were not attentive to our needs, often passing by our table without checking in."
Panayotis Pontikakis,The coolest backyard restaurant in Beirouth!!!
Hisham Abdul-Baki,"Nice restaurant to visit, it's clean and the food is really tasty."
Amin Ahmed,Very fast service. Amazing food. Average portions. Great vibes. I’d totally come back again!
Youmna Hammoud,"Hidden gems of Hamra
Delicious food
Hippie ambiance
Cool crowd
Nice music"
Antoun Boustani,This is one of my favorite places. The food here is so yummy. Their labne with garlic is done on point. Chicken msakhan is so yummy. Their cheese rolls is yummy. Their tawook dish was delicious.  This place is a must visit....
Ahmad Rustom,Very delicious restaurant with very reasonable prices and good portions. The service is very nice too. Overall it's a very good restaurant and is definitely worth coming back to
Tarek Alameddine,Host was rude when we asked for a table. The mixed grill was under-seasoned and unimpressive.
Kamal Yatbokh,"A nice spot in hamra that offers good Lebanese food. Tasty mezza , fresh salads and great grills. Rocca and thyme salad is super. Chicken escalope is a must try. As for dessert, I always go for brownies and carrot cake. Cosy atmosphere. Excellent service."
Serge Cherfan,"Cozy environment, reasonably priced and most importantly tasty Lebanese dishes..."
Hassan BAALBAKI,"Cosy, however the prices are going higher over the years as the clientele was changing .
I really love to work in the meeting room in the second floor."
Mohamad Awada,"Every thing about this place is special. Great food and service, great location, aesthetics and back story, reasonable prices and interesting menu for locals and foreigners.
Great experience overall and would highly recommend it 😀"
Achraf Assal,"Lack of vegetarian options, and staff weren't helpful in suggesting alternatives."
Faiza Hansraj-Jackson,"Fun place with great outdoors area and cool vibe. We went for dinner twice on weeknights and it was packed full of locals, students, tourists, young people, old people... The food was tasty and inexpensive. We loved their spicy potatoes, the soujuk and cheese rolls and the kibbe with aubergines and walnuts on top. Worth a visit!"
Ziad Bassil,Great place. Excellent food. Fair prices.
Noor x,Service is very bad. Waiters are disrespectful especially with foreigners. Please learn some manners.
Marie J Braidy,"Love love love the place, all the good vibes of Hamra in this place. When i go to lebanon i always visit this restaurant. You can play chess, eat wonderful batata harra and hommos."
amr kiki,"ة
It's one of the unique places at Hamra, Beirut. They serve good food, good delicious deserts of Lebanon. You can also enjoy alcohols or other beverages. The atmosphere and staff there are very cool. I recommend it for the others"
Ahmed Mosad Safar,Great location and vintage decorations that sets for a good vibes experience. They probably have the best Fetoush salad in Hamra. Other than that the food is tasty but not big portions and the prices are not bad.
Renderus,No vegetarian options and the waiters were not helpful in suggesting alternatives.
Ahmad El Harake,Work on your hygiene. Let the employees working with food shave their beards and long hair. Disgusting honestly.
Malek Hammad,On of my best places; they have a very delicious lebanese food and unbeatable arak
Łukasz Zieliński,Great food and atmosphere
Michal Krčál,A bit hecticly and chaoticly organised with occasional mistakes in servings and in rush hour in the evening with a bit longer waiting times. Other than that great and tasty meals. I liked close Mezyan a bit more.
Nora Aridi,"Best batata harra in lebanon! Overall very tasty food, good service and affordable prices..."
joseph acost,"Best farouche salad 🥗
World rewarded dish"
Melike Artar,"U can find different kind of food at same time, also most of them is delicisious"
Ben Eustace,"Authentic Lebanese and Turkish food, full of locals. Great value too! A little hard to find - it's past the Starbucks to the left in the back of the building, beside the 24/7 store."
Derya Akkaya,"The place was  nice , cozy excellent music and smiley staff.The food was delicious. It is strongly suggested."
Nour El Assaad,"It is my favorite lebanese restaurant and in the heart if hamra! Generous portions and friendly staff, the local feel of the place and their batata harra is life!
My favorite dishes are Batata Harrara, Tawouk, Kebbet Laqtine and fattoushe!"
Abed,Waited 30 minutes for a table and another 30 for food. Not worth the wait for average Lebanese cuisine.
Rhéa,"I LOVE this place! Although it's almost always crowded when I visit, the food, atmosphere, and affordability definitely make up for it. Since it's a Lebanese food restaurant, there are many vegan options for those of you who are looking to eat around this area. The options include but aren't limited by: lentil kebbe, pumpkin kebbe, tabboule, fattoush, various garden salads, coriander and spiced potatoes, hummus, beans, chickpeas in oil and spices, and rice-stuffed vine leaves."
Michael Clark,Everything was really great food-wise. Would be five stars if not for everyone working there being in such a foul mood.
Andres Rondon,"Great traditional Lebanese food, in a quiet place, for a good price. Recommended"
Bechara S.,"Chill place, and good Lebanese food. Usually occasionally go there during my lunch break when with others."
Salim Akil,"Baklava was stale, and the coffee was lukewarm. Disappointing experience in a busy Beirut spot."
Ahmad Hammoud,"Desserts seemed store-bought, not homemade. Very underwhelming for a Lebanese restaurant."
Mohanad Abdul Wahab,"Ordered tabbouleh which was soggy and oversalted. Plus, the noise level in the restaurant was unbearable."
Pavel Janoušek,"Not easy to find (with Starbucks on your right, it's in the left corner of the yard), but definitely worth a try. Very good food."
Nayia Argyrou,"We spend our Saturday night there and Sunday for lunch:) . Very friendly atmosphere, tasty libanese food and kind staff! strictly reccomend it"
Ali Baydoun,Expected authentic Lebanese flavors but was met with bland and uninspiring dishes.
Victoria Sokolovskaya,"Nice place, good to try lebenese cuisine and perfect prices :) Service also very good and attentive! Thank you!"
Nickolas Saliba,Good place good food . The place was full we were 6 and ended up on 2 tables only.
Ziad Saleh,The mezze was overpriced and underwhelming in terms of variety and taste.
Wael Salem,Great authentic lebanese food. Nice settings. One of mr favorite places in hamra
Rami Jawhar,Amazing food and super decent prices for Beirut. Used to play music there with a band back when they were in the hotel across the street. The back garden is very nice too.
Safwan Kamal,"Cozy restaurant, scrumptious food and very friendly staff. Didn’t find it too expensive. You gotta try this restaurant if you are in Hamra or even if you’re in Beirut. It’s inside a tiny shopping center. Some said it’s difficult to find, but if you the shopping center is right in front of you (and credit Libanais or Bank of Beirut is behind you), then the corner Starbucks should be on your right, walk straight past Starbucks while it is on your right, go to the end of the shopping center and you will see this restaurant in the left most corner, I don’t think we saw the Place sign, and asked somebody where the restaurant was. The entrance is relatively tiny, but you go and then can sit either inside or outside in the court-yard. Inside was way too cozy for me so we sat outside.

Overall: 5 stars, for the amazing food, welcoming and friendly staff and great ambience."
Carl Salem,Unfortunately the staff were indifferent and unfriendly to extent we did not feel welcome. Not even a thank you when we paid.
sandra,"Very good food and agreable customers, good service, nice place"
Mouhammad Saleh,"Ordered a variety of mezzes, but none stood out. The dishes lacked the vibrant flavors of Lebanese cuisine."
Lewis Tullett,"Great choice of cold and hot mezze, at reasonable prices compared to other places. Good sized portions of salads. Friendly service too. Nice atmosphere. Be aware of high amount of smokers if seated outdoors (I don't like cigarette smoke)."
Khaled Osta,"The dining area was too cramped, making it difficult to enjoy the meal comfortably."
Ahmed Naqshbandi,Am excellent place to rest and have a snack. Food is excellent and the bathrooms are super clean.
Charbel Ramia,Good food. Best Lebanese potato dish(بطاطا بكزبرة)in the area.
Hadeel Ghazi,"I have found this place by chance and it was very well hidden.
They need a bigger sign so that more people can go to this lovely restaurant.

It's so beautiful inside, books and music and great lebanese dishes."
Modi Mok,The chicken in the shawarma was dry and the garlic sauce was overpowering.
Ahmad Abou Abass,A nice and relaxing place in the middle of busy Hamra
Daim Khalid,"Great food, nice ambience. Good prices compared to other restaurants of the same quality.

Hummus - 7/10
Potatoes with Coriander (Batata Harra) - 9/10
Kibbeh Mloukiyeh - 9/10
Red Tawook - 6/10
Fries - 8/10"
M. Ezzeddine,Tasty food prices are low regarding what they offer portions are really generous
Roger Assaf,"Good food, friendly environment, watch out for the Sun 🌞 😁 …"
Alexis Baghdadi,"The food is good but the service is terrible. Waiters are unmotivated, and they served us warm beers once. The original concept of a student place to study and eat has been lost and replaced by loud crowds of argileh smokers and socialites."
Gisele,A nice lebanese food restaurant. No shisha included which makes more awesome!
Yaser Kelany,Nice elegant place with a nice oriental atmosphere. Food was extremely delicious. Prices are cheaper than similar places in Beirut!!
Rami Elamine,"Found the tables and floors unclean, which was off-putting. The food quality didn't make up for it."
Florian Muller,Book shop / library style café with nice seating outside and good food for reasonable prices. Ample wall sockets for working. Free WiFi according to Lebanese standards (terrible)
Rabih Mattar,"A proper authentic Lebanese coffee shop and restaurant at the heart of Hamra/Beirut. Excelle value for money, good food and crowd."
Karim Kassem,"Cocktails were poorly mixed, and the bar area was overcrowded and noisy."
David M,"Entrance to the restaurant is tucked away in the corner which can be difficult to find.
Food was all really good even with a super busy restaurant. Service was a bit slow and we got a few dishes for the wrong table. All in all I would deff recommend it for a normal lebanese meal in a good atmosphere place."
Sevag Markarian,"No parking available nearby, making it inconvenient for a supposedly top-rated restaurant in Beirut."
Vanessa E. Abdel Ahad,Had a long wait for a table even with a reservation. The restaurant was poorly managed.
Katerina Lang,The cosy backyard and delicious food. Highly recommended
Maud Le Quintrec,"We booked a table easily. Got the food really fast . the food is really good: baba ganoush, hummus, fatoush, cauliflower etc... nice ambiance, efficient and welcoming service, and the price was very mucj accessible: 18.000 each. I recommend :)"
ramleh5 5,We went there for lunch...the food was very average...but my problem was the waiters...kind of toxic atmosphere...unfriendly...they dont even look at you...no reasons to return again
Ingy Elsharkawy,Very nice food and reasonable prices but they need more comfortable chairs
Diana Abou Daher,Great food. Very casual and friendly ambiance
Mody Foody,"A very cute and cozy place in the area. A go to place to just relax, chill and enjoy delightful Lebanese food items at reasonable prices and prompt and punctual service as well . The staff is also highly friendly and helpful as well too."
Munir Chaar,"Drinks were overpriced, and the cocktail menu was uninspiring. The bar area was also too crowded."
Omar Sukarieh,Amazing food with great ambiance. Great value for money
Belle Fazel,The restaurant's interior felt outdated and not well-maintained.
Peter Boktor,Delicious food and generous portions. Great service too. Recommended.
saeed alorm,Food was overpriced for the quality served. The fattoush lacked flavor and freshness.
Alex Boudakian,"Bad management, hideous staff behavior. You have to beg the guy to get a sandwich you payed for. Awful experience! Never visiting this place again."
Cam Does Stuff,"Amazing food, fast service and friendly staff, the perfect recipe for a restaurant! I highly reccomend it!"
mehdi m,"Good food, good service and a bit cheaper than majority of restaurants"
sara sleem,"Service was indifferent, felt like we were a burden to the staff. The atmosphere was not welcoming."
Gabriel Nicolas Bazzi,"Chicken in the mixed grill was undercooked, raising concerns about food safety."
omar owaini,"Restaurant was too focused on style over substance, resulting in a subpar dining experience."
Mityafly Skiworker,the best place for brekfast or dinner!!! Good and friendly staff. Recomended for everybody!
Frederico Martins Montanha,"It is a wonderful hidden gem in Hamra, that I found as a highlight in the Lonely Planet guide, and it is really a great place to enjoy a real and tasty Lebanese food. The Tabbouleh salad is simply delightful. When it is full the service might get a little slow and confusing but it is definitely worth it. Surely I will come back without hesitation on my next trip to Beirut."
Maher S,Good food with a decent selection of choices...
Vahid,"Nice environment, friendly staff, affordable prices, but don't get confused with the currency!"
Nabil Souk,Lebanese wine selection was limited and overpriced. Disappointing for a local establishment.
Rami Maamari,Great place for a gathering food time
Christina Peebles,A Hamra institution—best place in the neighborhood to meet up with friends for good Lebanese food
Zaki Mahfoud,Good food nice ambiance pleasant waiters
Juliana Karma,"Stumbled upon this gem in the Hamra area and am so glad I did. The interior is really cool, trendy, and the back outdoor patio is just lovely. Great spot to eat, or just for coffee.

We stopped there a bit hungry, just wanting a few bites. We ordered Mutabaal, Tabbouleh, and the Pumpkin Kibbeh. Get all three things, trust me...they were to die for. The Pumpkin Kibbeh was especially unique...pumpkin exterior and spinach on the inside..yum!

Only wish I was hungrier so I could try more of their food!"
Maya Haydar,"Very nice place, music slightly loud. Food was great especially the potatoes with garlic and coriander and the sausages in pomegranate sauce. The salads are tasty and the appetizers are a must try. Staff are exceptional!"
Dawn Shannon,"Cute little restaurant/café, not too pricey, friendly staff."
Nabil Azoury,"Baba ghanoush was overly smoked, losing its delicate balance of flavors."
Mohd Ali,Excellent place to eat
Georgia Gibson,"This place is the best spot in Beirut in my opinion. The food is better than anywhere else but is the same price. There are so many options for what to eat and great vegan meals. It would be a 5 star review but the service is surprisingly poor considering how many staff there are, it’s almost impossible to get someone’s attention! Otherwise perfect."
Elio Haddad (URFreeNow),Must visit. Lebanese food with contemporary atmosphere good prices.
Pariz,lovely restaurant with good atmos. sandwiches and salad were delicious.
Youssef Naiim,Foul mudammas was bland and unseasoned. The overall culinary experience was forgettable.
Silvia “Iside65” Torelli,"Nice, lovely place with good for a, good drinks, books and table games. I love it!"
Roy Abou jaoude,"Amazing food, ok service"
Montaha Nattah,"Place is one of my favorite restaurants in Lebanon!! The food is so delicious and tempting, especially their soup, salads, escalope and batata harra!
The services are amazing, the location is nice as well. It is located in hamra, beirut, which is considered one of the main and most crowded streets in Lebanon. Many tourists go to Place because they get to try the most delicious Lebanese food there! That’s why it is always crowded, and sometimes you can’t even find a free table! The prices are fine as well, because the portions are always big. You just can’t visit Beirut without visiting Place. It’s definitely a MUST VISIT KIND OF A PLACE!

Overall:
Food: 10/10
Environment: 10/10
Location: 10/10
Services: 10/10
Price wise: 10/10"
Tobias Langner,"Delicious food, great wine and reasonable prices. Pretty inconspicuous place inside a mall without a sign."
Katarzyna,Lovely atmosphere! Great food. Hard to find but it's worth looking
Maryem To,"Unfriendly staff, hardly acknowledged us. The hummus was bland, not what I expected in Beirut."
Omar Eltassa,Nice place to have a Lebanese dinner
Ahmed Nagah,Tasty food .. the service is superb.. but really expensive... and the weather outdoor area was hot and humid so we choose to sit inside
Oliver N,"Great batata harra (spicy potatoes) and lentil soup. Definitely a hip/artsy sort of place, half self-service type. Good food. Not expensive. Mixed, diverse crowd and foreigners."
Susan Smith,"Good food, good atmosphere, highly recommended if you're in the area."
Fadi Sroor,good food and lovely atmosphe
Cezary,"Great place. If you happen to book a hotel in this area there are very few options to eat in the evening. Wouldn't recommend any of the bars around.
Good vibe, great food
Strongly recommended."
Zahi Ismail,"Authentic Lebanese restaurant with delicious meals, the servings are  huge and the price is very reasonable. Would definitely go again"
Houssein Saadeh,The food there is very delicious
Victor Bresse,Nice and cosy bar/restaurant with a daily meal
Suha Haddad,"Great vibes, laid back mood, consistently good food and good value for money"
Fawad Raza,"Great food, amazing environment.
No signs in the entrance it took me a bit to find it."
E F,Great food. Nice atmosphere. Excellent service.
Giselle Yasajie,"a very cozy place where you can eat, drink, listen to good music in the fresh air and garden-like setting"
Raimondo Spasiano,"Food is amazing, location is clean, nice and super cozy. Not easy to find and the service could be coordinated a little better (this one star less) but in general all good stuff."
Hassan Makki,"Service was inattentive and slow, even though the restaurant wasn't that busy."
Julien Saab,Love the atmosphere there ane the food is always delicious.
Gian Luca Bonora,"The food is delicious, sincerely. We ate hummus and kebabs, lentil soup, felafel and liver cooked in pomegranate juice as well as different salads: all were tasty. The main problem is the smoke and shisha smell when you eat … suggest to allow smoking and shisha swapping only in the garden"
Farouk Al Boukhari,"For Lebanese standard very bad food. Small portions slow service, definitely not worth the prices... real tourist place"
Sukaina Nasser,"I must say that the food here is my favourite in Beirut. It's authentic and delicious. Must try the chicken livers...very tasty! We usually order home delivery and it's always smooth and prompt. I occasionally go there if I'm in hamra. It's a laid back place, with a nice terrace. It can get a bit crowded and the service can be a bit slow, but it's worth it."
Salman Zafar,"Elegant ambience, courteous staff and relaxed atmosphere."
azza gotsmart,Very slow service. Good price. Very loud.
Ghassan Abdallah,Tables were sticky and dirty. The cleanliness of the place was questionable.
Saud Alghwainem,Portions were small compared to the price. Left feeling hungry and disappointed.
Wadouda QU,Nice ambiance. Good food. In the heart of Hamra
Hamido Hourani,"The concept of the restaurant is outstanding l.
Staff are friendly , decoration is top"
Derek E,"Used to go to the old location, this location is much better specially the outside seating and atmosphere, forgot to order the kibbeh mloukeyeh which is a specialty but everything was on point except the chicken shawarma that lacked the spices and was more tawouk wedges the garlic dip made it up though, would recommend the hot potatoes, chicken liver, sojuk , hummus, makanek, was told they also have a good mosakhan which is a Palestinian dish but didn't try it, overall a must visit restaurant in Hamra"
Jad Hajjchehadeh,"Affordable prices. Good mezza. But their chicken Shawarma plate has nothing to do with Shawarma, they use Taouk spices instead. I personally was disappointed!"
Mez Tesfayohannes,"Great food, generous portions, reasonable price. Try any kebab with the coriander potatoes side"
Rami Maradni,"Too hot in the outside section even with the fans , arabic orient salad too normal"
Ron Hamelin,The kebabs were undercooked and the place was uncomfortably crowded. A letdown for a Beirut eatery.
Дарина Ковальчук,"Delicious lebanese food, good servise and price."
Teddy,Mujaddara was dry and lacked seasoning. It was a poor representation of the dish.
Aia Khadem Al Jame,"Loved the place, the food and the staff."
Chady Makhlouf,Manager was dismissive when we complained about the food quality. The lamb was tough and overcooked.
Onur Açıkgöz,Traditional Lebanese food in a lively atmosphere.
Joe Ghanem,"Your grilled chicken sandwish is so delicious, very well done, grilled perfectly and tastes yummy. the support team are very professional and respectful. I recommend this to all Place loyal Clients. keep it up."
Maya Assaf,It is a nice place to hang out with friends... The staff is friendly and their food is really good...
mariam bish,The cheese manakish was oily and the dough was undercooked. Expected better quality.
